"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59719.331647,
"AUT","GDP","TOT","USD_CAP","A","2020",57253.300563,
"AUT","GDP","TOT","USD_CAP","A","2021",59976.264665,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.84151,
"BEL","GDP","TOT","USD_CAP","A","2019",55800.825988,
"BEL","GDP","TOT","USD_CAP","A","2020",54539.032525,"P"
"BEL","GDP","TOT","USD_CAP","A","2021",58806.119249,"P"
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.088155,
"CZE","GDP","TOT","USD_CAP","A","2020",42813.74134,
"CZE","GDP","TOT","USD_CAP","A","2021",44801.666875,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59883.83628,
"DNK","GDP","TOT","USD_CAP","A","2020",60840.940164,
"DNK","GDP","TOT","USD_CAP","A","2021",64897.769113,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.356163,
"FIN","GDP","TOT","USD_CAP","A","2020",52289.303157,
"FIN","GDP","TOT","USD_CAP","A","2021",54889.943483,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50221.997111,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",47823.919578,"P"
"FRA","GDP","TOT","USD_CAP","A","2021",50998.933198,"P"
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57397.204591,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56476.934309,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58784.138861,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29617.499309,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.847016,
"GRC","GDP","TOT","USD_CAP","A","2020",28413.787339,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31177.251307,"P"
"HUN","GDP","TOT","USD_CAP","A","2018",31908.661917,
"HUN","GDP","TOT","USD_CAP","A","2019",34638.671964,
"HUN","GDP","TOT","USD_CAP","A","2020",34156.840044,"P"
"HUN","GDP","TOT","USD_CAP","A","2021",36677.803167,"P"
"IRL","GDP","TOT","USD_CAP","A","2018",84824.352993,
"IRL","GDP","TOT","USD_CAP","A","2019",89846.272208,
"IRL","GDP","TOT","USD_CAP","A","2020",94028.901163,
"IRL","GDP","TOT","USD_CAP","A","2021",106852.122229,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.526931,
"ITA","GDP","TOT","USD_CAP","A","2020",43129.896677,
"ITA","GDP","TOT","USD_CAP","A","2021",46527.750373,
"LUX","GDP","TOT","USD_CAP","A","2018",116334.724739,
"LUX","GDP","TOT","USD_CAP","A","2019",119252.812943,
"LUX","GDP","TOT","USD_CAP","A","2020",119871.429414,
"LUX","GDP","TOT","USD_CAP","A","2021",131277.948732,"P"
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",60207.71305,
"NLD","GDP","TOT","USD_CAP","A","2020",59815.501543,"P"
"NLD","GDP","TOT","USD_CAP","A","2021",63418.747204,"P"
"POL","GDP","TOT","USD_CAP","A","2018",31662.210541,
"POL","GDP","TOT","USD_CAP","A","2019",34592.711362,
"POL","GDP","TOT","USD_CAP","A","2020",34893.459765,
"POL","GDP","TOT","USD_CAP","A","2021",37710.71133,
"PRT","GDP","TOT","USD_CAP","A","2018",34928.61899,
"PRT","GDP","TOT","USD_CAP","A","2019",37299.007208,
"PRT","GDP","TOT","USD_CAP","A","2020",34952.243057,
"PRT","GDP","TOT","USD_CAP","A","2021",36714.723378,"P"
"SVK","GDP","TOT","USD_CAP","A","2018",31374.187996,
"SVK","GDP","TOT","USD_CAP","A","2019",33461.912918,
"SVK","GDP","TOT","USD_CAP","A","2020",32898.852987,
"SVK","GDP","TOT","USD_CAP","A","2021",33941.41438,
"ESP","GDP","TOT","USD_CAP","A","2018",40776.768298,
"ESP","GDP","TOT","USD_CAP","A","2019",43135.539426,
"ESP","GDP","TOT","USD_CAP","A","2020",37992.368883,"P"
"ESP","GDP","TOT","USD_CAP","A","2021",40724.034713,"P"
"SWE","GDP","TOT","USD_CAP","A","2018",53521.635778,
"SWE","GDP","TOT","USD_CAP","A","2019",56404.032355,
"SWE","GDP","TOT","USD_CAP","A","2020",56135.141361,
"SWE","GDP","TOT","USD_CAP","A","2021",59973.968839,
"EST","GDP","TOT","USD_CAP","A","2018",36488.637421,
"EST","GDP","TOT","USD_CAP","A","2019",39068.183685,
"EST","GDP","TOT","USD_CAP","A","2020",39456.812096,
"EST","GDP","TOT","USD_CAP","A","2021",43494.06995,
"SVN","GDP","TOT","USD_CAP","A","2018",39008.297051,
"SVN","GDP","TOT","USD_CAP","A","2019",42075.856414,
"SVN","GDP","TOT","USD_CAP","A","2020",40860.470781,
"SVN","GDP","TOT","USD_CAP","A","2021",43970.371468,
"OECD","GDP","TOT","USD_CAP","A","2018",45191.892646,
"OECD","GDP","TOT","USD_CAP","A","2019",46667.515133,"P"
"OECD","GDP","TOT","USD_CAP","A","2020",45347.519328,"P"
"OECD","GDP","TOT","USD_CAP","A","2021",48957.282907,"E"
"LVA","GDP","TOT","USD_CAP","A","2018",30891.884185,
"LVA","GDP","TOT","USD_CAP","A","2019",32938.582309,
"LVA","GDP","TOT","USD_CAP","A","2020",33008.225642,
"LVA","GDP","TOT","USD_CAP","A","2021",35150.054156,
"LTU","GDP","TOT","USD_CAP","A","2018",36376.535744,
"LTU","GDP","TOT","USD_CAP","A","2019",39950.760493,
"LTU","GDP","TOT","USD_CAP","A","2020",40124.47344,
"LTU","GDP","TOT","USD_CAP","A","2021",43688.013736,
"BGR","GDP","TOT","USD_CAP","A","2018",23015.898745,
"BGR","GDP","TOT","USD_CAP","A","2019",25169.908002,
"BGR","GDP","TOT","USD_CAP","A","2020",25167.305528,
"BGR","GDP","TOT","USD_CAP","A","2021",26793.309833,"P"
"HRV","GDP","TOT","USD_CAP","A","2018",28887.862246,
"HRV","GDP","TOT","USD_CAP","A","2019",31572.729293,
"HRV","GDP","TOT","USD_CAP","A","2020",29690.20613,
